,sentiment
39087,0
30893,0
45278,1
16398,0
13653,0
13748,0
23965,0
45552,0
30219,1
24079,0
12181,0
21848,0
14290,1
24755,1
35013,0
15361,0
48038,1
36311,0
30239,1
7195,1
3579,1
36147,0
34095,1
10441,1
16307,0
4204,0
6957,0
9163,0
20627,1
17567,0
14832,0
27029,1
44197,0
1,1
35449,0
30903,1
7648,0
4217,1
10474,0
1185,1
46701,1
26826,1
12090,1
5386,1
17351,0
18844,1
28816,1
43052,0
11347,1
42802,0
3979,0
7090,0
21599,1
34264,1
17930,1
41958,1
25484,1
21027,1
29093,0
24608,1
44987,1
24542,0
24878,1
18528,1
40247,1
7104,0
11489,0
16072,0
4056,1
42723,0
24037,1
7191,0
35650,1
938,0
19424,0
18115,0
31659,0
1072,1
43347,0
35156,0
30665,0
44882,0
40153,1
42523,0
16063,1
34408,0
13655,1
45250,0
28135,1
17267,1
29671,1
28772,1
90,1
44127,1
26459,0
49622,1
41140,0
11416,1
35988,0
498,0
22364,1
35936,1
28243,1
37229,1
15910,0
20850,0
46505,0
29291,1
30501,1
5145,0
36137,0
27390,1
7487,0
33923,0
24786,0
12488,0
27743,1
12956,0
21463,0
6493,0
29115,1
47310,1
37858,1
31565,1
41201,1
28826,0
4645,1
27091,1
25639,1
31244,0
48649,1
5757,0
41435,1
28800,0
19882,0
6140,0
6912,1
10520,0
11532,0
48956,1
40406,0
20589,1
46432,1
7361,1
20072,1
1457,1
5201,1
42216,0
14511,1
36415,1
45530,0
32440,0
29016,1
1796,0
21749,0
46577,0
3018,1
33436,1
13371,0
15647,1
19258,0
17432,0
21368,1
32827,0
12212,1
6703,1
35536,0
44950,1
15030,1
2645,1
21794,0
15780,0
186,1
43430,0
8106,1
2166,0
6316,1
32534,0
11398,0
13130,1
49384,1
30282,0
24128,1
45628,1
49152,0
27557,0
4932,0
280,1
20966,1
20094,1
28565,1
39718,1
11097,0
29137,0
39067,0
28486,1
3723,1
24959,0
33350,1
30775,1
3281,0
44437,0
10491,1
12539,0
7732,1
43645,0
31386,0
9701,0
25421,0
16948,0
6319,1
10118,0
17816,0
2845,0
20870,1
15541,1
41229,1
3578,0
30923,0
38040,1
14023,0
41880,1
29880,1
682,1
25618,0
4230,1
5935,1
30233,1
12899,0
16284,0
5001,1
2923,1
21240,1
18094,1
49718,1
2691,0
7827,0
4811,1
36510,1
3446,0
28346,1
41778,1
8156,0
18765,0
17473,1
27183,1
39559,1
44924,0
44414,1
48323,0
28781,0
44439,0
44113,1
48929,1
1231,1
7751,1
108,1
40330,0
22514,1
14146,1
16839,1
48569,0
3529,0
3110,0
23597,0
19753,1
23129,0
45215,0
24899,1
38977,0
35827,0
48852,1
33472,0
37983,0
12498,0
37632,1
1396,1
12358,0
44374,1
47996,1
18421,0
15557,1
3141,1
49218,1
49182,1
46545,1
16864,1
7336,0
25145,0
34437,1
4289,0
38065,0
6663,1
36962,1
36710,0
17736,1
3202,1
45847,1
46888,0
41453,0
28055,1
36871,1
30375,1
8288,1
33597,0
17834,1
35232,1
2323,1
34822,0
31488,0
38008,0
36663,0
39035,0
37972,1
24735,1
6753,0
8480,1
10421,1
42517,1
19908,0
16170,1
46873,0
15381,0
42217,1
42370,0
24856,0
26699,1
35397,1
34127,0
4546,1
43236,1
33281,0
43743,1
6149,1
10688,1
42707,1
44465,0
38932,0
8632,1
49279,1
19334,1
34664,0
13047,0
17595,0
24013,1
33192,0
39495,1
42392,0
27205,0
19327,1
1323,1
17082,1
34621,0
29780,1
41952,1
24595,1
10351,1
14076,0
608,1
49583,0
41118,0
15258,0
41762,1
16790,1
32310,0
30070,0
37429,1
17919,1
49005,1
383,0
15331,0
39309,0
22848,0
12781,0
14524,0
29005,0
24639,0
13832,0
42399,1
475,1
36800,0
18372,1
24106,1
26758,0
1467,1
46223,0
6724,1
14018,1
14019,0
37664,1
17462,0
34018,0
8122,1
14400,1
7600,0
36897,1
44429,1
47765,0
3303,0
6342,1
23556,1
15464,0
923,1
20458,0
3601,0
39664,0
3875,1
6868,1
7028,1
34519,0
4346,1
42202,0
20903,1
41872,1
8541,0
6006,1
15404,0
23728,0
39782,0
11402,1
40075,1
30389,1
2625,1
40571,1
16718,1
39070,0
14881,0
24626,0
45886,0
39562,0
39570,1
22175,0
14664,0
20735,1
18938,1
33113,0
41687,0
47224,1
18349,1
32614,0
41823,0
5784,1
47761,0
43474,1
27996,0
7989,1
24046,1
37658,0
2357,1
48586,1
49350,0
1398,1
30359,1
15274,0
43313,0
13501,0
9279,0
38054,1
35520,1
41307,1
48422,1
38628,1
37467,1
16900,0
18439,0
40811,0
470,0
17018,0
33441,1
9038,1
32850,1
42367,0
42219,0
14971,1
45349,1
7969,1
39257,0
46278,0
46592,1
31454,0
22417,0
